date,hour,Cluster,jam_factor,Cluster_Center_Lat,Cluster_Center_Lon,Cluster_Name
2024-12-05,2024-12-05 06:00:00,0,0.8613,51.5090415,-0.005487499999999937,"Canary Wharf, Tower Hamlets"
2024-12-05,2024-12-05 06:00:00,1,0.583578947368421,51.52641605263158,-0.1792668421052631,"St John's Wood, Westminster"
2024-12-05,2024-12-05 06:00:00,2,1.0329,51.51867625,-0.11355849999999999,"Bloomsbury, Camden"
2024-12-05,2024-12-05 06:00:00,3,1.8391999999999997,51.41758266666667,-0.09059533333333333,"Croydon, Croydon"
2024-12-05,2024-12-05 06:00:00,4,1.3679999999999999,51.604313636363635,-0.06774181818181817,"Enfield, Enfield"
2024-12-05,2024-12-05 06:00:00,5,1.0088571428571427,51.492197142857144,-0.27541714285714275,"Chiswick, Hounslow"
2024-12-05,2024-12-05 06:00:00,6,1.881,51.59938230769231,-0.18374153846153846,"Barnet, Barnet"
2024-12-05,2024-12-05 06:00:00,7,0.7766,51.42757266666667,-0.15402866666666662,"Mitcham, Merton"
2024-12-05,2024-12-05 06:00:00,8,1.02575,51.54197083333333,-0.02613583333333333,"Hackney, Hackney"
2024-12-05,2024-12-05 06:00:00,9,0.8266499999999999,51.432225,-0.03301150000000004,"Lewisham, Lewisham"
2024-12-05,2024-12-05 06:00:00,10,0.7884324324324323,51.50203648648649,-0.1484735135135135,"Pimlico, Westminster"
2024-12-05,2024-12-05 06:00:00,11,0.8851764705882352,51.57177764705882,-0.10832647058823529,"Finchley, Barnet"
2024-12-05,2024-12-05 06:00:00,12,0.9107999999999999,51.5540768,0.011039199999999985,"Walthamstow, Waltham Forest"
2024-12-05,2024-12-05 06:00:00,13,0.72,51.44160818181818,-0.23178636363636365,"Wimbledon, Merton"
2024-12-05,2024-12-05 06:00:00,14,0.7190526315789473,51.463533684210525,-0.10854263157894738,"Streatham, Lambeth"
2024-12-05,2024-12-05 06:00:00,15,1.4626071428571428,51.580061428571426,-0.22415321428571428,"Mill Hill, Barnet"
2024-12-05,2024-12-05 06:00:00,16,0.6569999999999999,51.552960909090906,-0.14217909090909092,"Hampstead, Camden"
2024-12-05,2024-12-05 06:00:00,17,0.9136874999999999,51.50079625,-0.222076875,"Kensington, Kensington & Chelsea"
2024-12-05,2024-12-05 06:00:00,18,1.647642857142857,51.60569785714286,-0.12841142857142857,"Barnet, Barnet"
2024-12-05,2024-12-05 06:00:00,19,1.4488571428571428,51.47107190476191,-0.020581428571428584,"Brixton, Lambeth"
2024-12-05,2024-12-05 06:00:00,20,0.8085,51.470056,0.024880000000000027,"Greenwich, Greenwich"
2024-12-05,2024-12-05 06:00:00,21,0.391875,51.47954875,-0.06595041666666668,"Camberwell, Southwark"
2024-12-05,2024-12-05 06:00:00,22,1.2465,51.47713954545455,-0.18992636363636362,"Fulham, Hammersmith & Fulham"
2024-12-05,2024-12-05 06:00:00,23,2.71425,51.5367325,-0.28159749999999995,"Brent Cross, Barnet"
2024-12-05,2024-12-05 06:00:00,24,0.6802258064516129,51.50734,-0.0819090322580645,"City of London, City of London"
2024-12-05,2024-12-05 06:00:00,25,1.2649999999999997,51.55198111111111,-0.08617888888888889,"Highbury, Islington"
2024-12-05,2024-12-05 06:00:00,26,0.7128,51.522242,0.04073800000000001,"Stratford, Newham"
2024-12-05,2024-12-05 06:00:00,27,1.0065,51.54432357142857,-0.245155,"Cricklewood, Brent"
2024-12-05,2024-12-05 06:00:00,28,0.8529230769230769,51.58087153846154,-0.022996923076923068,"Walthamstow, Waltham Forest"
2024-12-05,2024-12-05 06:00:00,29,0.614625,51.53327,-0.05749874999999999,"Hoxton, Hackney"
2024-12-05,2024-12-05 06:00:00,30,0.533076923076923,51.463723076923074,-0.14832384615384614,"Clapham, Lambeth"
2024-12-05,2024-12-05 06:00:00,31,0.8559374999999999,51.5549125,-0.19958,"Golders Green, Barnet"
2024-12-05,2024-12-05 07:00:00,0,1.7487000000000001,51.5090415,-0.005487499999999937,"Canary Wharf, Tower Hamlets"
2024-12-05,2024-12-05 07:00:00,1,1.184842105263158,51.52641605263158,-0.1792668421052631,"St John's Wood, Westminster"
2024-12-05,2024-12-05 07:00:00,2,2.0971,51.51867625,-0.11355849999999999,"Bloomsbury, Camden"
2024-12-05,2024-12-05 07:00:00,3,3.7341333333333333,51.41758266666667,-0.09059533333333333,"Croydon, Croydon"
2024-12-05,2024-12-05 07:00:00,4,2.7774545454545456,51.604313636363635,-0.06774181818181817,"Enfield, Enfield"
2024-12-05,2024-12-05 07:00:00,5,2.0482857142857145,51.492197142857144,-0.27541714285714275,"Chiswick, Hounslow"
2024-12-05,2024-12-05 07:00:00,6,3.819,51.59938230769231,-0.18374153846153846,"Barnet, Barnet"
2024-12-05,2024-12-05 07:00:00,7,1.5767333333333333,51.42757266666667,-0.15402866666666662,"Mitcham, Merton"
2024-12-05,2024-12-05 07:00:00,8,2.0825833333333335,51.54197083333333,-0.02613583333333333,"Hackney, Hackney"
2024-12-05,2024-12-05 07:00:00,9,1.67835,51.432225,-0.03301150000000004,"Lewisham, Lewisham"
2024-12-05,2024-12-05 07:00:00,10,1.6007567567567569,51.50203648648649,-0.1484735135135135,"Pimlico, Westminster"
2024-12-05,2024-12-05 07:00:00,11,1.7971764705882354,51.57177764705882,-0.10832647058823529,"Finchley, Barnet"
2024-12-05,2024-12-05 07:00:00,12,1.8492000000000002,51.5540768,0.011039199999999985,"Walthamstow, Waltham Forest"
